mount_type,fixture_configuration,wind_speed_mph,pole_height_ft,Alaskan Yellow Cedar Poles EPA,Southern Yellow Pine Poles EPA,ero_vista_pole_size
BASE,Single Side Mount Fixture,130 - 140 MPH,18,15.26,20.52,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,18,11.76,17.87,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,18,8.91,15.69,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,20,21.87,29.74,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,20,19.02,27.32,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,20,14.26,23.28,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,20,10.49,18.42,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,20,7.45,14.31,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,20,4.95,10.94,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,22,16.16,26.92,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,22,13.66,23.52,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,22,9.5,17.84,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,22,6.2,13.34,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,22,3.54,9.71,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,22,1.36,6.74,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,24,11.48,21.27,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,24,9.26,18.21,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,24,5.56,13.1,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,24,2.62,9.09,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,24,0,5.84,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,24,0,3.18,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,26,7.08,15.91,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,26,5.1,13.18,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,26,1.82,8.64,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,26,0,5.04,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,26,0,2.13,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,26,0,0,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,28,3.33,11.44,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,28,1.56,8.96,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,28,0,4.85,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,28,0,1.59,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,28,0,0,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,28,0,0,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,Less Than or Equal to 115 MPH,30,0,7.08,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,115 - 120 MPH,30,0,4.86,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,120 - 130 MPH,30,0,1.16,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,130 - 140 MPH,30,0,0,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,140 - 150 MPH,30,0,0,"8-1/2"" x 8-1/4"""
BASE,Single Side Mount Fixture,150 - 160 MPH,30,0,0,"8-1/2"" x 8-1/4"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,8,19.3,28.46,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,8,17.54,25.97,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,8,14.61,21.82,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,8,12.28,18.52,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,8,10.4,15.86,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,8,8.87,13.68,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,10,14.31,21.67,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,10,12.91,19.69,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,10,10.54,16.38,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,10,8.5,13.76,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,10,6.86,11.65,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,10,5.51,9.9,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,12,10.53,16.93,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,12,9.25,15.29,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,12,7.13,12.56,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,12,5.44,10.23,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,12,4.08,8.3,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,12,2.97,6.73,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,14,7.16,13.08,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,14,6.08,11.56,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,14,4.3,9.04,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,14,2.89,7.04,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,14,1.75,5.42,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,14,0.81,4.09,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,16,4.26,9.4,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,16,3.36,8.12,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,16,1.85,5.99,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,16,0.66,4.29,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,16,0,2.93,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,16,0,1.81,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,18,1.8,6.35,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,18,1.03,5.26,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,18,0,3.42,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,18,0,1.98,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,18,0,0.81,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,18,0,0,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,20,0,1.43,"5"" x 5-1/2"""
BASE,Top Mount Fixture,115 - 120 MPH,20,0,0.6,"5"" x 5-1/2"""
BASE,Top Mount Fixture,120 - 130 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Top Mount Fixture,130 - 140 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Top Mount Fixture,140 - 150 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Top Mount Fixture,150 - 160 MPH,20,0,0,"5"" x 5-1/2"""
BASE,Top Mount Fixture,Less Than or Equal to 115 MPH,8,45.91,62.59,"6-3/4"" x 6-3/4"""
